City,Sub_Area,Property_Type,Land_Type,BHK,Year_Listed,Price
Srikakulam,Arasavilli,Land,Residential,0,2017,9088000.0
Tirupati,Chandragiri,Residency,Residential,1,2021,21298000.0
Kadapa,Chinna Chowk,Residency,Residential,1,2016,5870000.0
Visakhapatnam,MVP Colony,Residency,Residential,1,2015,4955000.0
Kadapa,Nagarajupalli,Residency,Residential,5,2019,15653000.0
Visakhapatnam,Pendurthi,Residency,Residential,5,2015,13644000.0
Ongole,Kurnool Road,Residency,Residential,4,2023,19421000.0
Chittoor,Kongareddy Palle,Land,Residential,0,2019,4443000.0
Chittoor,Bangarupalem,Land,Commercial,0,2018,8273000.0
Rajahmundry,Morampudi,Residency,Residential,4,2020,36081000.0
Nellore,Vedayapalem,Land,Agricultural,0,2018,5784000.0
Srikakulam,Amadalavalasa Road,Residency,Residential,2,2019,21220000.0
Guntur,Lakshmipuram,Land,Industrial,0,2021,10700000.0
Anantapur,Maruthi Nagar,Residency,Residential,5,2022,30898000.0
Eluru,Ramachandra Rao Peta,Land,Agricultural,0,2015,7587000.0
Anantapur,Gooty Road,Residency,Residential,3,2018,22916000.0
Kadapa,Rayachoti Road,Land,Commercial,0,2021,12226000.0
Eluru,Fathepur,Land,Industrial,0,2018,18119000.0
Nellore,Kovur,Land,Industrial,0,2017,13891000.0
Eluru,Ramachandra Rao Peta,Residency,Residential,5,2020,42652000.0
Kurnool,Nandyal Road,Residency,Residential,5,2024,39277000.0
Vizianagaram,Nellimarla,Land,Residential,0,2015,9498000.0
Visakhapatnam,Rushikonda,Land,Commercial,0,2020,8213000.0
Nellore,Ramalingapuram,Residency,Residential,5,2016,31575000.0
Vijayawada,Gollapudi,Residency,Residential,3,2022,29006000.0
Vizianagaram,Poolbagh,Land,Industrial,0,2016,10190000.0
Vizianagaram,Bondapalli,Land,Residential,0,2018,10938000.0
Ongole,Kurnool Road,Land,Residential,0,2019,7538000.0
Vizianagaram,Poolbagh,Residency,Residential,3,2022,19407000.0
Eluru,Kaikaluru Road,Land,Commercial,0,2017,17929000.0
Visakhapatnam,Steel Plant,Residency,Residential,4,2021,15760000.0
Rajahmundry,Prakash Nagar,Residency,Residential,3,2021,24172000.0
Kakinada,Jagannaickpur,Land,Residential,0,2018,13435000.0
Chittoor,Greamspet,Residency,Residential,2,2015,5413000.0
Kurnool,Kodumur,Land,Industrial,0,2023,28379000.0
Visakhapatnam,Gajuwaka,Residency,Residential,2,2022,7695000.0
Tirupati,Korlagunta,Residency,Residential,2,2018,21255000.0
Guntur,Arundalpet,Residency,Residential,2,2023,10723000.0
Nellore,Kovur,Land,Industrial,0,2022,18358000.0
Guntur,Amaravathi Road,Residency,Residential,4,2021,14351000.0
Kadapa,Rayachoti Road,Land,Industrial,0,2020,9814000.0
Ongole,Mangamuru Road,Land,Residential,0,2017,5584000.0
Kadapa,Yerramukkapalli,Land,Commercial,0,2019,7492000.0
Chittoor,Puttur Road,Residency,Residential,1,2023,7704000.0
Visakhapatnam,Muralinagar,Residency,Residential,1,2015,5219000.0
Vijayawada,Gollapudi,Residency,Residential,2,2020,22100000.0
Srikakulam,Balaga,Land,Commercial,0,2017,14787000.0
Kurnool,Panyam,Residency,Residential,2,2024,30269000.0
Srikakulam,Amadalavalasa Road,Land,Residential,0,2016,11739000.0
Guntur,Tenali Road,Land,Residential,0,2023,8320000.0
Nellore,VRC Centre,Residency,Residential,5,2017,26112000.0
Vijayawada,Patamata,Land,Residential,0,2022,13287000.0
Srikakulam,Navabharat Junction,Residency,Residential,4,2019,27774000.0
Vijayawada,Kanuru,Residency,Residential,2,2018,16893000.0
Kurnool,Nandyal Road,Land,Industrial,0,2022,18255000.0
Kurnool,Abbas Nagar,Land,Residential,0,2015,11914000.0
Anantapur,Anantapur City,Land,Residential,0,2015,11175000.0
Ongole,Mangamuru Road,Residency,Residential,3,2021,13240000.0
Nellore,Kovur,Land,Agricultural,0,2019,7127000.0
Kadapa,Rayachoti Road,Residency,Residential,5,2024,23463000.0
