Transaction_ID,City,Location,Transaction_Date,Transaction_Type,Property_Type,Price,Formatted Price
TXN00001,Kadapa,Akkayapalli,2016-11-24,Lease,Industrial,6374000.0,"₹ 63,74,000 (63.74 Lakh)"
TXN00002,Kadapa,Akkayapalli,2018-09-20,Sale,Agricultural,2984000.0,"₹ 29,84,000 (29.84 Lakh)"
TXN00003,Rajahmundry,Bommuru,2015-03-23,Resale,Agricultural,7227000.0,"₹ 72,27,000 (72.27 Lakh)"
TXN00004,Kurnool,Abbas Nagar,2021-02-12,Resale,Commercial,18267000.0,"₹ 1,82,67,000 (1.83 Crore)"
TXN00005,Kakinada,Bhanugudi,2021-02-18,Resale,Residential,7596000.0,"₹ 75,96,000 (75.96 Lakh)"
TXN00006,Kakinada,Bhanugudi,2019-02-28,Sale,Commercial,11566000.0,"₹ 1,15,66,000 (1.16 Crore)"
TXN00007,Kadapa,Akkayapalli,2020-06-07,Lease,Industrial,6655000.0,"₹ 66,55,000 (66.55 Lakh)"
TXN00008,Guntur,Amaravathi Road,2019-11-23,Lease,Commercial,8056000.0,"₹ 80,56,000 (80.56 Lakh)"
TXN00009,Visakhapatnam,Anakapalle,2019-02-07,Lease,Residential,4656000.0,"₹ 46,56,000 (46.56 Lakh)"
TXN00010,Kurnool,Abbas Nagar,2019-03-08,Lease,Agricultural,7535000.0,"₹ 75,35,000 (75.35 Lakh)"
TXN00011,Rajahmundry,Bommuru,2018-03-17,Resale,Industrial,15266000.0,"₹ 1,52,66,000 (1.53 Crore)"
TXN00012,Kadapa,Akkayapalli,2025-07-20,Sale,Residential,5189000.0,"₹ 51,89,000 (51.89 Lakh)"
TXN00013,Nellore,Atmakur Bus Stand,2026-02-22,Lease,Agricultural,6726000.0,"₹ 67,26,000 (67.26 Lakh)"
TXN00014,Guntur,Amaravathi Road,2015-12-24,Resale,Residential,4721000.0,"₹ 47,21,000 (47.21 Lakh)"
TXN00015,Rajahmundry,Bommuru,2018-03-12,Sale,Residential,11037000.0,"₹ 1,10,37,000 (1.10 Crore)"
TXN00016,Rajahmundry,Bommuru,2020-05-08,Sale,Residential,11110000.0,"₹ 1,11,10,000 (1.11 Crore)"
TXN00017,Visakhapatnam,Anakapalle,2016-09-25,Sale,Residential,4907000.0,"₹ 49,07,000 (49.07 Lakh)"
TXN00018,Vijayawada,Benz Circle,2018-09-25,Lease,Commercial,12627000.0,"₹ 1,26,27,000 (1.26 Crore)"
TXN00019,Visakhapatnam,Anakapalle,2016-04-08,Sale,Agricultural,2876000.0,"₹ 28,76,000 (28.76 Lakh)"
TXN00020,Kurnool,Abbas Nagar,2025-01-08,Sale,Commercial,18989000.0,"₹ 1,89,89,000 (1.90 Crore)"
TXN00021,Tirupati,Alipiri,2018-09-05,Lease,Residential,9321000.0,"₹ 93,21,000 (93.21 Lakh)"
TXN00022,Kakinada,Bhanugudi,2016-02-22,Resale,Agricultural,4744000.0,"₹ 47,44,000 (47.44 Lakh)"
TXN00023,Kurnool,Abbas Nagar,2025-11-04,Sale,Agricultural,7542000.0,"₹ 75,42,000 (75.42 Lakh)"
TXN00024,Nellore,Atmakur Bus Stand,2022-03-14,Sale,Residential,10192000.0,"₹ 1,01,92,000 (1.02 Crore)"
TXN00025,Guntur,Amaravathi Road,2015-11-18,Sale,Commercial,8098000.0,"₹ 80,98,000 (80.98 Lakh)"
TXN00026,Kadapa,Akkayapalli,2021-01-06,Resale,Commercial,8062000.0,"₹ 80,62,000 (80.62 Lakh)"
TXN00027,Tirupati,Alipiri,2026-09-22,Lease,Industrial,12036000.0,"₹ 1,20,36,000 (1.20 Crore)"
TXN00028,Anantapur,Anantapur City,2026-09-02,Lease,Commercial,15731000.0,"₹ 1,57,31,000 (1.57 Crore)"
TXN00029,Kurnool,Abbas Nagar,2015-09-03,Sale,Residential,11914000.0,"₹ 1,19,14,000 (1.19 Crore)"
TXN00030,Kadapa,Akkayapalli,2024-04-19,Lease,Residential,5291000.0,"₹ 52,91,000 (52.91 Lakh)"
TXN00031,Tirupati,Alipiri,2023-06-09,Sale,Residential,9604000.0,"₹ 96,04,000 (96.04 Lakh)"
TXN00032,Kurnool,Abbas Nagar,2019-08-11,Sale,Industrial,15329000.0,"₹ 1,53,29,000 (1.53 Crore)"
TXN00033,Tirupati,Alipiri,2019-03-12,Sale,Residential,9963000.0,"₹ 99,63,000 (99.63 Lakh)"
TXN00034,Visakhapatnam,Anakapalle,2019-10-26,Lease,Industrial,6435000.0,"₹ 64,35,000 (64.35 Lakh)"
TXN00035,Rajahmundry,Bommuru,2016-12-18,Sale,Industrial,15377000.0,"₹ 1,53,77,000 (1.54 Crore)"
TXN00036,Guntur,Amaravathi Road,2019-09-16,Resale,Commercial,8162000.0,"₹ 81,62,000 (81.62 Lakh)"
TXN00037,Tirupati,Alipiri,2017-11-09,Sale,Agricultural,5547000.0,"₹ 55,47,000 (55.47 Lakh)"
TXN00038,Anantapur,Anantapur City,2026-03-18,Sale,Agricultural,6619000.0,"₹ 66,19,000 (66.19 Lakh)"
TXN00039,Kurnool,Abbas Nagar,2020-01-12,Sale,Commercial,19376000.0,"₹ 1,93,76,000 (1.94 Crore)"
TXN00040,Visakhapatnam,Anakapalle,2018-03-26,Sale,Industrial,6510000.0,"₹ 65,10,000 (65.10 Lakh)"
TXN00041,Nellore,Atmakur Bus Stand,2026-04-09,Sale,Commercial,14966000.0,"₹ 1,49,66,000 (1.50 Crore)"
TXN00042,Kadapa,Akkayapalli,2022-06-10,Sale,Residential,5526000.0,"₹ 55,26,000 (55.26 Lakh)"
TXN00043,Visakhapatnam,Anakapalle,2016-05-12,Lease,Commercial,7586000.0,"₹ 75,86,000 (75.86 Lakh)"
TXN00044,Rajahmundry,Bommuru,2024-05-02,Sale,Industrial,15473000.0,"₹ 1,54,73,000 (1.55 Crore)"
TXN00045,Kakinada,Bhanugudi,2016-07-19,Sale,Industrial,9924000.0,"₹ 99,24,000 (99.24 Lakh)"
TXN00046,Guntur,Amaravathi Road,2026-12-24,Lease,Agricultural,3020000.0,"₹ 30,20,000 (30.20 Lakh)"
TXN00047,Visakhapatnam,Anakapalle,2020-11-28,Sale,Agricultural,2878000.0,"₹ 28,78,000 (28.78 Lakh)"
TXN00048,Guntur,Amaravathi Road,2019-09-05,Sale,Industrial,6199000.0,"₹ 61,99,000 (61.99 Lakh)"
